,Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,TotalLivingSF,TotalMainBath,TotalBath,AgeSold,TotalPorchSF,TotalSF,TotalArea,GarageAgeSold,LastRemodelYrs,NbhdPricePerSF
30,31,70,50.0,8500,4,4,1920,1950,5,0,0.0,2,1,1,0,0,649,649,2,2,0,3,649,668,0,1317,0,0,1,0,3,1,2,6,0,2,1920.0,1,1,250,3,0,54,172,0,0,0,0,7,2008,40000,1966,1.0,1.0,88,226,1317,2216,88.0,58,53.85268421741216
31,32,20,0.0,8544,5,6,1966,2006,3,0,0.0,2,2,2,0,0,1228,1228,2,3,1,3,1228,0,0,1228,0,0,1,1,3,1,3,6,0,4,1966.0,1,1,271,3,0,65,0,0,0,0,0,6,2008,149350,2456,1.5,1.5,42,65,1228,2727,42.0,2,62.675326605163775
32,33,20,85.0,11049,8,5,2007,2007,6,0,0.0,3,2,3,0,0,1234,1234,2,4,1,3,1234,0,0,1234,0,0,2,0,3,1,3,7,0,4,2007.0,2,2,484,3,0,30,0,0,0,0,0,1,2008,179900,2468,2.0,2.0,1,30,1234,2952,1.0,1,75.04142143422128
33,34,20,70.0,10552,5,5,1959,1959,5,0,0.0,2,2,2,1018,0,380,1398,2,3,1,3,1700,0,0,1700,0,1,1,1,4,1,3,6,1,4,1959.0,2,2,447,3,0,38,0,0,0,0,0,4,2010,165500,3098,1.5,2.0,51,38,2718,3545,51.0,51,62.495892085837696
34,35,120,60.0,7313,9,5,2005,2005,1,3,246.0,4,2,3,1153,0,408,1561,2,4,1,3,1561,0,0,1561,1,0,2,0,2,1,4,6,1,4,2005.0,3,2,556,3,203,47,0,0,0,0,0,8,2007,277500,3122,2.0,3.0,2,250,2714,3678,2.0,2,89.88078067216345
35,36,60,108.0,13418,8,5,2004,2005,6,4,132.0,3,2,3,0,0,1117,1117,2,4,1,3,1132,1320,0,2452,0,0,3,1,4,1,3,9,1,4,2004.0,3,3,691,3,113,32,0,0,0,0,0,9,2006,309000,3569,3.5,3.5,2,145,2452,4260,2.0,1,89.88078067216345
36,37,20,112.0,10859,5,5,1994,1995,6,0,0.0,2,2,3,0,0,1097,1097,2,4,1,3,1097,0,0,1097,0,0,1,1,3,1,2,6,0,4,1995.0,1,2,672,3,392,64,0,0,0,0,0,6,2009,145000,2194,1.5,1.5,15,456,1097,2866,14.0,14,75.04142143422128
37,38,20,74.0,8532,5,6,1954,1990,1,3,650.0,2,2,2,1213,0,84,1297,2,3,1,3,1297,0,0,1297,0,1,1,0,3,1,2,5,1,4,1954.0,3,2,498,3,0,0,0,0,0,0,0,10,2009,153000,2594,1.0,1.5,55,0,2510,3092,55.0,19,62.495892085837696
38,39,20,68.0,7922,5,7,1953,2007,6,0,0.0,2,3,2,731,0,326,1057,2,2,1,3,1057,0,0,1057,1,0,1,0,3,1,3,5,0,2,1953.0,1,1,246,3,0,52,0,0,0,0,0,1,2010,109000,2114,1.0,2.0,57,52,1788,2360,57.0,3,62.495892085837696
39,40,90,65.0,6040,4,5,1955,1955,0,0,0.0,2,2,3,0,0,0,0,2,2,0,0,1152,0,0,1152,0,0,2,0,2,2,1,6,0,0,1900.0,0,0,0,0,0,0,0,0,0,0,0,6,2008,82000,1152,2.0,2.0,53,0,1152,1152,108.0,53,57.244515282205136
40,41,20,84.0,8658,6,5,1965,1965,1,3,101.0,2,2,2,643,0,445,1088,2,4,1,3,1324,0,0,1324,0,0,2,0,3,1,2,6,1,4,1965.0,2,2,440,3,0,138,0,0,0,0,0,12,2006,160000,2412,2.0,2.0,41,138,1967,2852,41.0,41,62.495892085837696
41,42,20,115.0,16905,5,6,1959,1959,6,0,0.0,2,3,2,967,0,383,1350,2,3,1,3,1328,0,0,1328,0,1,1,1,2,1,2,5,2,4,1959.0,2,1,308,3,0,104,0,0,0,0,0,7,2007,170000,2678,1.5,2.0,48,104,2295,2986,48.0,48,78.04628310781021
42,43,85,0.0,9180,5,7,1983,1983,3,0,0.0,2,2,2,747,93,0,840,2,3,1,3,884,0,0,884,1,0,1,0,2,1,3,5,0,4,1983.0,2,2,504,3,240,0,0,0,0,0,0,12,2007,144000,1724,1.0,2.0,24,240,1724,2228,24.0,24,71.1354746978608
43,44,20,0.0,9200,5,6,1975,1980,6,0,0.0,2,2,2,280,491,167,938,2,2,1,3,938,0,0,938,1,0,1,0,3,1,2,5,0,2,1977.0,1,1,308,3,145,0,0,0,0,0,0,7,2008,130250,1876,1.0,2.0,33,145,1709,2184,31.0,28,75.04142143422128
44,45,20,70.0,7945,5,6,1959,1959,5,0,0.0,2,2,2,179,506,465,1150,2,4,1,2,1150,0,0,1150,1,0,1,0,3,1,2,6,0,4,1959.0,2,1,300,3,0,0,0,0,0,0,0,5,2006,141000,2300,1.0,2.0,47,0,1835,2600,47.0,47,62.495892085837696
45,46,120,61.0,7658,9,5,2005,2005,1,3,412.0,4,2,3,456,0,1296,1752,2,4,1,3,1752,0,0,1752,1,0,2,0,2,1,4,6,1,4,2005.0,2,2,576,3,196,82,0,0,0,0,0,2,2010,319900,3504,2.0,3.0,5,278,2208,4080,5.0,5,89.88078067216345
46,47,50,48.0,12822,7,5,2003,2003,6,0,0.0,3,2,3,1351,0,83,1434,2,4,1,3,1518,631,0,2149,1,0,1,1,1,1,3,6,1,4,2003.0,2,2,670,3,168,43,0,0,198,0,0,8,2009,239686,3583,1.5,2.5,6,409,3500,4253,6.0,6,65.41403406858139
47,48,20,84.0,11096,8,5,2006,2006,6,0,0.0,3,2,3,24,0,1632,1656,2,4,1,3,1656,0,0,1656,0,0,2,0,3,1,3,7,0,4,2006.0,2,3,826,3,0,146,0,0,0,0,0,7,2007,249700,3312,2.0,2.0,1,146,1680,4138,1.0,1,82.65035776115711
48,49,190,33.0,4456,4,5,1920,2008,1,0,0.0,2,2,1,0,0,736,736,2,3,1,3,736,716,0,1452,0,0,2,0,2,3,2,8,0,0,1900.0,0,0,0,0,0,0,102,0,0,0,0,6,2009,113000,2188,2.0,2.0,89,102,1452,2188,109.0,1,56.50343751827948
49,50,20,66.0,7742,5,7,1966,1966,3,0,0.0,2,2,2,763,0,192,955,2,4,1,3,955,0,0,955,1,0,1,0,3,1,2,6,0,4,1966.0,1,1,386,3,0,0,0,0,0,0,0,1,2007,127000,1910,1.0,2.0,41,0,1718,2296,41.0,41,62.675326605163775
50,51,60,0.0,13869,6,6,1997,1997,6,0,0.0,2,2,3,182,0,612,794,2,3,1,3,794,676,0,1470,0,1,2,0,3,1,2,6,0,4,1997.0,3,2,388,3,0,75,0,0,0,0,0,7,2007,177000,2264,2.0,2.5,10,75,1652,2652,10.0,10,76.84454061251664
51,52,50,52.0,6240,6,6,1934,1950,1,0,0.0,2,2,3,0,0,816,816,2,2,1,3,816,0,360,1176,0,0,1,0,3,1,2,6,1,2,1985.0,1,2,528,3,112,0,0,0,0,0,400,9,2006,114500,1632,1.0,1.0,72,112,816,2160,21.0,56,63.70429189835996
52,53,90,110.0,8472,5,5,1963,1963,1,0,0.0,1,2,2,104,712,0,816,2,2,0,3,816,0,0,816,1,0,1,0,2,1,2,5,0,1,1963.0,1,2,516,3,106,0,0,0,0,0,0,5,2010,110000,1632,1.0,2.0,47,106,1632,2148,47.0,47,53.85268421741216
53,54,20,68.0,50271,9,5,1981,1987,1,0,0.0,3,2,2,1810,0,32,1842,2,3,1,3,1842,0,0,1842,2,0,0,1,0,1,3,5,1,4,1981.0,3,3,894,3,857,72,0,0,0,0,0,11,2006,385000,3684,0.5,2.5,25,929,3652,4578,25.0,19,83.46043851286939
54,55,80,60.0,7134,5,5,1955,1955,1,0,0.0,2,2,2,384,0,0,384,2,2,1,3,1360,0,0,1360,0,0,1,0,3,1,2,6,1,2,1962.0,1,2,572,3,0,50,0,0,0,0,0,2,2007,130000,1744,1.0,1.0,52,50,1744,2316,45.0,52,62.495892085837696
55,56,20,100.0,10175,6,5,1964,1964,3,3,272.0,2,2,2,490,0,935,1425,2,3,1,3,1425,0,0,1425,0,0,2,0,3,1,2,7,1,4,1964.0,2,2,576,3,0,0,0,407,0,0,0,7,2008,180500,2850,2.0,2.0,44,407,1915,3426,44.0,44,62.495892085837696
56,57,160,24.0,2645,8,5,1999,2000,1,3,456.0,3,2,3,649,0,321,970,2,4,1,3,983,756,0,1739,1,0,2,1,3,1,3,7,0,4,1999.0,3,2,480,3,115,0,0,0,0,0,0,8,2009,172500,2709,2.5,3.5,10,115,2388,3189,10.0,9,82.65035776115711
57,58,60,89.0,11645,7,5,2004,2004,6,0,0.0,3,2,3,0,0,860,860,2,4,1,3,860,860,0,1720,0,0,2,1,3,1,3,7,0,4,2004.0,2,2,565,3,0,70,0,0,0,0,0,8,2006,196500,2580,2.5,2.5,2,70,1720,3145,2.0,2,75.04142143422128
58,59,60,66.0,13682,10,5,2006,2006,6,3,1031.0,4,2,3,0,0,1410,1410,2,4,1,3,1426,1519,0,2945,0,0,3,1,3,1,3,10,1,4,2006.0,3,3,641,3,192,0,37,0,0,0,0,10,2006,438780,4355,3.5,3.5,0,229,2945,4996,0.0,0,91.26740111931524
59,60,20,60.0,7200,5,7,1972,1972,3,0,0.0,2,2,2,632,0,148,780,2,4,1,3,780,0,0,780,0,0,1,0,2,1,2,4,0,2,1973.0,1,1,352,3,196,0,0,0,0,0,0,1,2008,124900,1560,1.0,1.0,36,196,1412,1912,35.0,36,75.04142143422128
60,61,20,63.0,13072,6,5,2004,2004,6,0,0.0,2,2,3,941,0,217,1158,2,4,1,3,1158,0,0,1158,1,0,1,1,3,1,3,5,0,2,2006.0,1,2,576,3,0,50,0,0,0,0,0,5,2006,158000,2316,1.5,2.5,2,50,2099,2892,0.0,2,71.1354746978608
61,62,75,60.0,7200,5,7,1920,1996,1,0,0.0,2,2,1,0,0,530,530,2,2,0,3,581,530,0,1111,0,0,1,0,3,1,1,6,0,2,1935.0,1,1,288,3,0,0,144,0,0,0,0,3,2007,101000,1641,1.0,1.0,87,144,1111,1929,72.0,11,53.85268421741216
62,63,120,44.0,6442,8,5,2006,2006,6,4,178.0,3,2,3,24,0,1346,1370,2,4,1,3,1370,0,0,1370,0,0,2,0,2,1,3,6,1,4,2006.0,2,2,484,3,120,49,0,0,0,0,0,10,2007,202500,2740,2.0,2.0,1,169,1394,3224,1.0,1,89.88078067216345
63,64,70,50.0,10300,7,6,1921,1950,2,0,0.0,2,2,1,0,0,576,576,2,3,1,3,902,808,0,1710,0,0,2,0,3,1,2,9,0,2,1990.0,1,2,480,3,12,11,64,0,0,0,0,4,2010,140000,2286,2.0,2.0,89,87,1710,2766,20.0,60,56.50343751827948
64,65,60,0.0,9375,7,5,1997,1998,6,3,573.0,2,2,3,739,0,318,1057,2,4,1,3,1057,977,0,2034,1,0,2,1,3,1,3,8,0,4,1998.0,2,2,645,3,576,36,0,0,0,0,0,2,2009,219500,3091,2.5,3.5,12,612,2773,3736,11.0,11,75.04142143422128
65,66,60,76.0,9591,8,5,2004,2005,6,3,344.0,3,2,3,0,0,1143,1143,2,4,1,3,1143,1330,0,2473,0,0,2,1,4,1,3,9,1,4,2004.0,2,3,852,3,192,151,0,0,0,0,0,10,2007,317000,3616,2.5,2.5,3,343,2473,4468,3.0,2,89.88078067216345
66,67,20,0.0,19900,7,5,1970,1989,4,3,287.0,2,2,2,912,0,1035,1947,2,2,1,3,2207,0,0,2207,1,0,2,0,3,1,2,7,1,4,1970.0,2,2,576,3,301,0,0,0,0,0,0,7,2010,180000,4154,2.0,3.0,40,301,3119,4730,40.0,21,62.495892085837696
67,68,20,72.0,10665,7,5,2003,2003,6,3,167.0,3,2,3,1013,0,440,1453,2,4,1,3,1479,0,0,1479,1,0,2,0,3,1,3,7,0,4,2003.0,2,2,558,3,144,29,0,0,0,0,0,6,2007,226000,2932,2.0,3.0,4,173,2492,3490,4.0,4,75.04142143422128
68,69,30,47.0,4608,4,6,1945,1950,1,0,0.0,2,3,2,0,0,747,747,2,2,1,3,747,0,0,747,0,0,1,0,2,1,2,4,0,4,1945.0,1,1,220,3,0,0,0,0,0,0,0,6,2010,80000,1494,1.0,1.0,65,0,747,1714,65.0,60,56.50343751827948
69,70,50,81.0,15593,7,4,1953,1953,5,0,0.0,3,2,2,603,0,701,1304,1,2,1,3,1304,983,0,2287,0,0,2,0,3,1,2,7,1,4,1953.0,3,2,667,3,0,21,114,0,0,0,0,7,2006,225000,3591,2.0,2.0,53,135,2890,4258,53.0,53,70.91761790148465
70,71,20,95.0,13651,7,6,1973,1973,4,3,1115.0,2,3,2,1880,0,343,2223,2,4,1,3,2223,0,0,2223,1,0,2,0,3,1,2,8,2,4,1973.0,3,2,516,3,300,0,0,0,0,0,0,2,2007,244000,4446,2.0,3.0,34,300,4103,4962,34.0,34,62.495892085837696
71,72,20,69.0,7599,4,6,1982,2006,3,0,0.0,2,2,2,565,0,280,845,2,2,1,3,845,0,0,845,1,0,1,0,2,1,2,4,0,2,1987.0,1,2,360,3,0,0,0,0,0,0,0,6,2007,129500,1690,1.0,2.0,25,0,1410,2050,20.0,1,65.41403406858139
72,73,60,74.0,10141,7,5,1998,1998,6,3,40.0,2,2,3,0,0,832,832,2,3,1,3,885,833,0,1718,0,0,2,1,3,1,2,7,1,4,1998.0,3,2,427,3,0,94,0,0,291,0,0,12,2009,185000,2550,2.5,2.5,11,385,1718,2977,11.0,11,76.84454061251664
73,74,20,85.0,10200,5,7,1954,2003,1,3,104.0,2,2,2,320,362,404,1086,2,3,1,3,1086,0,0,1086,1,0,1,0,3,1,2,6,0,4,1989.0,1,2,490,3,0,0,0,0,0,0,0,5,2010,144900,2172,1.0,2.0,56,0,1768,2662,21.0,7,62.495892085837696
74,75,50,60.0,5790,3,6,1915,1950,6,0,0.0,3,3,2,0,0,840,840,2,3,0,3,840,765,0,1605,0,0,2,0,3,2,2,8,0,2,1915.0,1,1,379,3,0,0,202,0,0,0,0,5,2010,107400,2445,2.0,2.0,95,202,1605,2824,95.0,60,56.50343751827948
75,76,180,21.0,1596,4,5,1973,1973,7,0,0.0,2,2,2,462,0,0,462,2,2,1,3,526,462,0,988,1,0,1,0,2,1,2,5,0,4,1973.0,1,1,297,3,120,101,0,0,0,0,0,11,2009,91000,1450,1.0,2.0,36,221,1450,1747,36.0,36,57.56982376584562
76,77,20,0.0,8475,4,7,1956,1956,6,0,0.0,2,2,2,228,0,724,952,2,4,1,2,952,0,0,952,0,0,1,0,2,1,2,4,0,2,1956.0,1,1,283,3,0,0,0,0,0,0,0,4,2008,135750,1904,1.0,1.0,52,0,1180,2187,52.0,52,62.495892085837696
77,78,50,50.0,8635,5,5,1948,2001,1,0,0.0,2,2,2,336,41,295,672,2,2,1,3,1072,213,0,1285,1,0,1,0,2,1,2,6,0,2,1948.0,1,1,240,3,0,0,0,0,0,0,0,1,2008,127000,1957,1.0,2.0,60,0,1662,2197,60.0,7,63.70429189835996
78,79,90,72.0,10778,4,5,1968,1968,3,0,0.0,2,2,2,0,0,1768,1768,2,2,0,3,1768,0,0,1768,0,0,2,0,4,2,2,8,0,0,1900.0,0,0,0,0,0,0,0,0,0,0,0,4,2010,136500,3536,2.0,2.0,42,0,1768,3536,110.0,42,62.675326605163775
79,80,50,60.0,10440,5,6,1910,1981,1,0,0.0,2,2,3,0,0,440,440,2,3,1,3,682,548,0,1230,0,0,1,1,2,1,2,5,0,2,1966.0,1,2,440,3,74,0,128,0,0,0,0,5,2009,110000,1670,1.5,1.5,99,202,1230,2110,43.0,28,56.50343751827948
80,81,60,100.0,13000,6,6,1968,1968,6,3,576.0,2,3,2,448,0,448,896,2,2,1,3,1182,960,0,2142,0,0,2,1,4,1,3,8,1,4,1968.0,3,1,509,3,0,72,0,0,252,0,0,6,2009,193500,3038,2.5,2.5,41,324,2590,3547,41.0,41,62.495892085837696
81,82,120,32.0,4500,6,5,1998,1998,6,3,443.0,2,3,3,1201,0,36,1237,2,4,1,3,1337,0,0,1337,1,0,2,0,2,1,2,5,0,4,1998.0,3,2,405,3,0,199,0,0,0,0,0,3,2006,153500,2574,2.0,3.0,8,199,2538,2979,8.0,8,65.41403406858139
82,83,20,78.0,10206,8,5,2007,2007,6,4,468.0,2,2,3,33,0,1530,1563,2,4,1,3,1563,0,0,1563,0,0,2,0,3,1,3,6,1,4,2007.0,2,3,758,3,144,99,0,0,0,0,0,10,2008,245000,3126,2.0,2.0,1,243,1596,3884,1.0,1,82.65035776115711
83,84,20,80.0,8892,5,5,1960,1960,1,2,66.0,2,2,2,0,0,1065,1065,2,3,1,3,1065,0,0,1065,0,0,1,1,3,1,2,6,0,2,1974.0,1,2,461,3,74,0,0,0,0,0,0,7,2007,126500,2130,1.5,1.5,47,74,1065,2591,33.0,47,62.495892085837696
84,85,80,0.0,8530,7,5,1995,1996,3,3,22.0,2,2,3,0,0,384,384,2,3,1,3,804,670,0,1474,0,0,2,1,3,1,2,7,1,4,1995.0,3,2,400,3,120,72,0,0,0,0,700,5,2009,168500,1858,2.5,2.5,14,192,1474,2258,14.0,13,76.84454061251664
